Player id,Country
268474,Japan
216646,Switzerland
290864,Belgium
356459,Nigeria
216642,Switzerland
296303,Honduras
175512,USA
349578,Ecuador
273291,Nigeria
289027,Japan
291329,Ivory Coast
216645,Switzerland
229436,Chile
185359,Uruguay
237071,Honduras
197409,Australia
207924,England
238381,Ghana
183798,Costa Rica
182372,Argentina
216880,Belgium
228351,Greece
229443,Columbia
197464,England
200213,Columbia
238112,Mexico
267829,Uruguay
209940,Costa Rica
276131,Uruguay
230117,Honduras
216964,Netherlands
198489,Ivory Coast
184373,Japan
208120,Costa Rica
209960,Mexico
176971,Ivory Coast
94918,Columbia
178185,Honduras
159304,Italy
179048,Croatia
178420,USA
182021,France
184982,USA
178958,Ivory Coast
179038,Brazil
367333,Russia
358097,Bosnia & Herzegovina
195223,Germany
209168,Australia
214377,Italy
176644,Spain
215484,Greece
178630,Chile
298516,Iran
356612,Argentina
213871,Honduras
195231,Mexico
212246,France
215471,Greece
274703,Argentina
214404,Portugal
181951,USA
214874,Costa Rica
207809,Brazil
210702,Croatia
286238,Uruguay
309426,Brazil
253999,England
184320,Brazil
175546,Mexico
175413,Spain
299066,Portugal
175629,Uruguay
216990,Cameroon
202650,Chile
198117,Japan
189300,Nigeria
196620,Switzerland
254141,France
275793,Ecuador
196633,Switzerland
306144,Argentina
349832,Argentina
184856,Nigeria
299904,Bosnia & Herzegovina
254089,Netherlands
354873,Algeria
216432,Russia
306180,Cameroon
329737,Iran
254091,Netherlands
358893,Russia
216438,Russia
317072,Cameroon
321682,Algeria
202280,Ecuador
306206,Iran
214571,France
214407,Portugal
276139,USA
357990,Croatia
299887,Croatia
198546,South Korea
297230,Honduras
182479,Nigeria
305708,Algeria
378836,Italy
182620,Australia
229450,Ecuador
356166,Algeria
298676,South Korea
299064,Portugal
376071,Ghana
323339,Algeria
367555,Ivory Coast
276132,Uruguay
182379,Argentina
228912,Germany
229498,Uruguay
228328,Greece
302630,Ecuador
233333,Italy
216820,Spain
323326,Algeria
215017,Russia
358012,France
215285,Mexico
214581,Japan
301165,Costa Rica
200259,Cameroon
280487,Columbia
359997,Bosnia & Herzegovina
199160,Costa Rica
290822,Belgium
278126,South Korea
349582,Chile
201001,Argentina
200133,Argentina
268911,Japan
200205,Portugal
303419,Ecuador
266783,Argentina
299956,England
360111,Greece
298655,Italy
271043,Brazil
359448,France
297105,France
200209,Columbia
200130,Argentina
291332,Ivory Coast
298613,Brazil
369983,Russia
358046,Russia
199175,Costa Rica
367433,USA
329745,Iran
363578,South Korea
267344,Iran
298662,Italy
296312,Honduras
321731,Greece
359375,Croatia
379889,Iran
240718,Ivory Coast
268411,South Korea
294626,Ghana
362881,England
230121,Bosnia & Herzegovina
346763,Iran
298738,Belgium
379888,Iran
232760,Netherlands
353237,Ghana
359436,Portugal
269768,Portugal
349631,Argentina
354883,Algeria
299090,Greece
359428,Portugal
360109,Greece
319298,Greece
200261,Cameroon
